Filename: ubcmaCtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  7.8000000000E+01  2.3919610629E-01  1.6630729857E+05  3.9804238205E+04  3.9780058267E+04  1.6669418254E+05
  7.9000000000E+01  2.4073753291E-01  1.6359798958E+05  3.9407662798E+04  3.9384176401E+04  1.6397454035E+05
  8.0000000000E+01  2.4229481860E-01  1.6096002127E+05  3.9022642223E+04  3.8999779154E+04  1.6132705793E+05
  8.1000000000E+01  2.4386011947E-01  1.5838321772E+05  3.8645673029E+04  3.8623350395E+04  1.5874167843E+05
  8.2000000000E+01  2.4539208073E-01  1.5590099935E+05  3.8278674418E+04  3.8256870619E+04  1.5625133893E+05
  8.3000000000E+01  2.4695730714E-01  1.5351026452E+05  3.7931821028E+04  3.7910481543E+04  1.5385291455E+05
  8.4000000000E+01  2.4862886581E-01  1.5120125307E+05  3.7613949228E+04  3.7592996060E+04  1.5153669010E+05
  8.5000000000E+01  2.5039944931E-01  1.4897835069E+05  3.7324730508E+04  3.7304096971E+04  1.4930702232E+05
  8.6000000000E+01  2.5228834567E-01  1.4685205355E+05  3.7069450460E+04  3.7049061647E+04  1.4717435739E+05
  8.7000000000E+01  2.5445496763E-01  1.4482504559E+05  3.6871716982E+04  3.6851452286E+04  1.4514135576E+05
  8.8000000000E+01  2.5738345502E-01  1.4290773665E+05  3.6802499735E+04  3.6782087007E+04  1.4321840921E+05
  8.9000000000E+01  2.6169212175E-01  1.4110799186E+05  3.6947846039E+04  3.6926849786E+04  1.4141326516E+05
  9.0000000000E+01  2.6409442598E-01  1.3945242887E+05  3.6849555274E+04  3.6828609154E+04  1.3975211607E+05
  9.1000000000E+01  2.7177125037E-01  1.3814732713E+05  3.7567026194E+04  3.7544471831E+04  1.3844088848E+05
