Filename: lbcmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  6.80       34   80 0.407     9.859E-04
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.863E+04  12.5     6.863E+04
F107,F107A,MLAT,MLONG:  150.      150.      66.0      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  3.1400000000E+02  6.4883600848E-01  3.7072355620E+04  2.4094098063E+04  2.4053879245E+04  3.7166660740E+04
  3.1500000000E+02  6.4389248490E-01  3.7017113387E+04  2.3874908123E+04  2.3835041123E+04  3.7111900068E+04
  3.1600000000E+02  6.3898306221E-01  3.6959202672E+04  2.3655784247E+04  2.3616304500E+04  3.7054492841E+04
  3.1700000000E+02  6.2498416723E-01  3.6867495176E+04  2.3079599461E+04  2.3041600770E+04  3.6963446770E+04
  3.1800000000E+02  6.1369949948E-01  3.6801187182E+04  2.2622022351E+04  2.2584870154E+04  3.6897759650E+04
  3.1900000000E+02  6.1215304373E-01  3.6791796449E+04  2.2559416395E+04  2.2522210181E+04  3.6888870625E+04
  3.2000000000E+02  6.1391520023E-01  3.6799183179E+04  2.2629200986E+04  2.2591577910E+04  3.6896710939E+04
  3.2100000000E+02  6.1568528151E-01  3.6804470786E+04  2.2698000554E+04  2.2659970957E+04  3.6902480521E+04
  3.2200000000E+02  6.1702082265E-01  3.6803540294E+04  2.2746937533E+04  2.2708550709E+04  3.6902068910E+04
  3.2300000000E+02  6.1773851144E-01  3.6799111672E+04  2.2770901088E+04  2.2732228467E+04  3.6898182040E+04
  3.2400000000E+02  6.1821074234E-01  3.6793678358E+04  2.2785183496E+04  2.2746247211E+04  3.6893303780E+04
  3.2500000000E+02  6.1836130039E-01  3.6785122210E+04  2.2785676504E+04  2.2746496005E+04  3.6885328031E+04
  3.2600000000E+02  6.1731732884E-01  3.6765569842E+04  2.2735303430E+04  2.2696023368E+04  3.6866393931E+04
  3.2700000000E+02  6.0846668467E-01  3.6715435363E+04  2.2378440020E+04  2.2340119231E+04  3.6816867674E+04
  3.2800000000E+02  6.0099144245E-01  3.6680959334E+04  2.2082707557E+04  2.2044942660E+04  3.6782868467E+04
  3.2900000000E+02  6.0202921085E-01  3.6690178331E+04  2.2126595583E+04  2.2088559107E+04  3.6792362314E+04
  3.3000000000E+02  6.0308580900E-01  3.6698572380E+04  2.2170783158E+04  2.2132388213E+04  3.6801028124E+04
  3.3100000000E+02  6.0416596794E-01  3.6703451674E+04  2.2214023141E+04  2.2174976407E+04  3.6807185194E+04
  3.3200000000E+02  6.0493794160E-01  3.6708300912E+04  2.2245762749E+04  2.2206243993E+04  3.6812967822E+04
  3.3300000000E+02  6.0535274080E-01  3.6712790544E+04  2.2263960653E+04  2.2224188378E+04  3.6817820447E+04
